,uuid,nb_champs_renseignés
353,8521cf91-18e4-43ca-a9c6-010781ed46e0,19.0
354,8ac4f1b5-1ae6-4884-982e-e351ad00084d,20.0
355,3e50aa97-1250-4149-8dad-571f6eb5608b,16.0
356,4a40ec8c-cc54-41d8-9099-528d292426ae,16.0
357,437fd223-b80a-470b-bc86-7e9a7ac7747c,16.0
358,91aa1ad6-e82d-4a1f-97f9-1ce85e8be60a,20.0
359,81d567de-0b18-45c3-9cb0-287d78b60309,12.0
360,77b000e3-7e29-43bd-8fb3-9b9028b70d01,20.0
361,64cdc9fc-da9c-420e-99b0-b8df96526d52,20.0
362,48b5fb41-d775-4d10-a45a-a6f06b05e622,18.0
363,4b317e7e-2d6c-4c1e-8a48-23c11f5c428d,16.0
364,40da9bf5-abcc-4ccf-b965-5465b1708b6b,16.0
365,68f320ab-4fff-42ac-a0cd-6b9f43ef71fc,20.0
366,3e59e077-1703-4b1c-82da-f6d6985b5622,16.0
367,93354a4a-8145-4fe5-828c-381bdb1c6044,12.0
368,8c8bcf2e-b3e5-4c45-a836-c357cefa3a53,20.0
369,7ed38efa-0b20-4d89-8fdd-8a865293eb53,19.0
370,4995531d-3ac5-48d6-8f7a-d15f64f7c12d,16.0
371,34d81586-1382-45b9-9762-4c78fc3f0db0,16.0
372,6f8abd19-ba2f-40b7-b728-067a8a04109e,12.0
373,6efe853f-8c8e-4a0f-aa12-2fc4607b028e,12.0
374,7617adcc-4287-4cb3-89f5-87ecc5275080,20.0
375,59749ca6-17f1-488e-b797-0530a07dade8,12.0
376,46c063c8-3369-49f5-bd08-01950a6bf734,16.0
377,338c52a8-c288-482a-a91a-bfea23b09ec9,16.0
378,8f6096d2-ab7b-43e6-ba02-de090dd1d38f,12.0
379,4d215f75-e83f-48fa-a574-297c1e0e8d38,16.0
380,826dce44-b14a-42f5-bbbb-71ac0f5382b4,12.0
381,85701a02-277b-4b73-9d8b-69f7d83bf515,20.0
382,87222542-80d3-4326-9957-2108c8e225e6,24.0
383,3a11852c-faa1-400f-a21f-7b2585f646cb,16.0
384,3a6f661a-d122-42db-99b0-1922a5c9f184,16.0
385,367ce1f0-4f15-4614-8f12-34f25a9a41da,16.0
386,38c8cb9d-a041-4efe-8cd5-1bbf7a3fbcfd,16.0
387,48e425ce-c1d8-4823-a0c2-a26f57933d72,16.0
388,994ca367-43f3-483b-a7d2-405922ed253a,12.0
389,46cb12df-9f47-4c98-9e83-e2b058115642,16.0
390,870903a7-3b9c-4d1a-9f09-073e092b8875,12.0
391,6805cd50-aa31-4c29-aec4-02ea328c56c1,17.0
392,5d638060-4ce5-48d5-905c-674be4166b8e,20.0
393,4abf2493-6893-4a97-98ae-a543d4129d8e,16.0
